route_from,route_to,ride_type,ride_max_persons,hour,day_of_week,ride_waiting_time,ride_time_minutes,ride_price,distance_meters,lat_route_from,lon_route_from,lat_route_to,lon_route_to
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,17,1,6.0,7.983333333333333,147.06,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,17,1,5.333333333333333,7.983333333333333,35.416666666666664,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,17,1,6.0,8.316666666666666,199.1833333333333,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,17,1,1.3333333333333333,7.65,70.0,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,17,1,6.0,8.65,143.01,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,17,1,6.0,8.316666666666666,267.71,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,18,1,7.5,8.5,147.06,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,18,1,5.0,8.508333333333333,32.0,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,18,1,7.0,8.5,215.56,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,18,1,1.0,8.508333333333333,70.0,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,18,1,8.5,9.5,143.32,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,18,1,5.5,8.0,267.71,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,19,1,8.0,7.666666666666667,135.94,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,19,1,4.0,9.683333333333334,34.5,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,19,1,6.0,8.683333333333334,183.1,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,19,1,1.0,8.683333333333334,70.0,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,19,1,8.0,9.683333333333334,131.61,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,19,1,6.0,8.666666666666666,267.71,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,20,1,6.0,8.666666666666666,138.49,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,20,1,3.0,8.666666666666666,32.0,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,20,1,7.0,8.666666666666666,195.04,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,20,1,2.0,7.666666666666667,66.73,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,20,1,6.0,8.666666666666666,130.84,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,20,1,9.0,8.666666666666666,239.25,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,21,1,5.0,8.744444444444445,136.58,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,21,1,3.333333333333333,7.411111111111111,32.0,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,21,1,4.666666666666667,8.411111111111111,192.22,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,21,1,1.6666666666666667,7.416666666666667,66.38,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,21,1,6.666666666666667,8.416666666666666,130.84,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,21,1,7.0,7.7444444444444445,234.78,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,22,1,6.0,7.666666666666667,136.58,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,22,1,4.0,7.683333333333334,32.0,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,22,1,5.0,7.683333333333334,192.22,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,22,1,1.0,7.683333333333334,95.28,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,22,1,4.0,8.683333333333334,130.84,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,22,1,6.0,6.666666666666667,335.08,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,23,1,5.0,7.616666666666666,136.58,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,23,1,3.0,7.633333333333334,36.2,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,23,1,5.0,7.633333333333334,192.22,1902.5,13.04302465,80.27387045386067,13.0397156,80.2794416
