ride_type,ride_max_persons,hour,day_of_week,distance_meters,lat_route_from,lon_route_from,lat_route_to,lon_route_to,predicted_price
Uber Go,4.0,23,4,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,95.49440000000003
Go Sedan,4.0,23,4,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,99.22990000000001
Uber Go,4.0,14,4,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,99.58379999999994
Uber Go,4.0,15,4,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,100.60349999999995
Go Sedan,4.0,14,4,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,104.68659999999994
Uber Go,4.0,22,4,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,106.27390000000003
Go Sedan,4.0,15,4,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,106.3505999999999
Uber Go,4.0,21,0,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,107.86910000000007
Uber Go,4.0,20,0,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,108.00660000000009
Uber Go,4.0,13,4,3766.7,13.0506255,80.26473410980003,13.0506255,80.26473410980003,108.14249999999993
