From,To,Uber Link
Chennai Lighthouse,Chennai Citi Centre,https://m.uber.com/go/product-selection?drop%5B0%5D=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%2210%2F11%2C%20Dr%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429239%2C%22longitude%22%3A80.27377170000001%2C%22provider%22%3A%22google_places%22%7D&effect=&pickup=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397354%2C%22longitude%22%3A80.2792984%2C%22provider%22%3A%22google_places%22%7D&uclick_id=174784cc-5ad8-418b-ac1c-c41d7bc78b89&vehicle=2019
Chennai Citi Centre,Chennai Lighthouse,https://m.uber.com/go/product-selection?drop%5B0%5D=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397354%2C%22longitude%22%3A80.2792984%2C%22provider%22%3A%22google_places%22%7D&effect=&pickup=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22No.%2010%20and%2011%2C%20Dr%20Radhakrishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20TN%20600004%22%2C%22id%22%3A%22ea74162a-529a-7e81-5c88-4e012afddc0a%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429486%2C%22longitude%22%3A80.2738015%2C%22provider%22%3A%22uber_places%22%7D&uclick_id=174784cc-5ad8-418b-ac1c-c41d7bc78b89&vehicle=2019
Express Avenue Mall,Chennai Lighthouse,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Rd%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Lighthouse,Express Avenue Mall,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Road%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Lighthouse,PVR Ampa SkyOne,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22PVR%20Ampa%20SkyOne%2C%20Aminjikarai%22%2C%22addressLine2%22%3A%221%2C%20Nelson%20Manickam%20Rd%2C%20Aminjikarai%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJyzSdtIRmUjoRqkjefEktGWk%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0739961%2C%22longitude%22%3A80.2214138%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
PVR Ampa SkyOne,Chennai Lighthouse,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22PVR%20Ampa%20SkyOne%2C%20Aminjikarai%22%2C%22addressLine2%22%3A%221%2C%20Nelson%20Manickam%20Rd%2C%20Aminjikarai%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJyzSdtIRmUjoRqkjefEktGWk%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0739961%2C%22longitude%22%3A80.2214138%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Marina Beach,Chennai Lighthouse,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Marina%20Beach%22%2C%22addressLine2%22%3A%22Tamil%20Nadu%22%2C%22id%22%3A%22ChIJuzIBtptoUjoRCrZi347PSQU%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0499526%2C%22longitude%22%3A80.2824026%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Lighthouse,Marina Beach,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Marina%20Beach%22%2C%22addressLine2%22%3A%22Tamil%20Nadu%22%2C%22id%22%3A%22ChIJuzIBtptoUjoRCrZi347PSQU%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0499526%2C%22longitude%22%3A80.2824026%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Lighthouse,Semmozhi Poonga,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Semmozhi%20Poonga%22%2C%22addressLine2%22%3A%22Cathedral%20Road%2C%20opposite%20American%20Consulate%2C%20Ellaiamman%20Colony%2C%20Teynampet%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJcVcO_UZmUjoR21emTXt0U4k%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0505371%2C%22longitude%22%3A80.2514128%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Semmozhi Poonga,Chennai Lighthouse,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Semmozhi%20Poonga%22%2C%22addressLine2%22%3A%22Cathedral%20Road%2C%20opposite%20American%20Consulate%2C%20Ellaiamman%20Colony%2C%20Teynampet%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJcVcO_UZmUjoR21emTXt0U4k%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0505371%2C%22longitude%22%3A80.2514128%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
